Species,Beak.Length_Culmen,Beak.Width,Wing.Length,Mass,Mppersp,Habitat,Trophic.Niche,Migration
Phaethon aethereus,66.4,8.8,309.2,750,,Marine,Aquatic predator,3
Puffinus lherminieri,31,4.9,185.3,192.8,,Marine,Aquatic predator,2
Sula leucogaster,100.9,20.5,388.6,1288.8,,Marine,Aquatic predator,2
Bulweria bulwerii,21.6,4.8,203.2,99,,Marine,Aquatic predator,2
Calonectris edwardsii,42.8,8.2,309,535,,Marine,Aquatic predator,3
Phaethon aethereus,66.4,8.8,309.2,750,,Marine,Aquatic predator,3
Puffinus lherminieri,31,4.9,185.3,192.8,,Marine,Aquatic predator,2
Sula leucogaster,100.9,20.5,388.6,1288.8,,Marine,Aquatic predator,2
Melanitta fusca,49.9,26.4,259.2,1800.2,0,Wetland,Aquatic predator,3
Melanitta nigra,48.7,20.8,221.1,1050,0,Wetland,Aquatic predator,3
Clangula hyemalis,32.1,16,215.6,871,0.144,Wetland,Aquatic predator,3
Gavia stellata,63.1,7.5,275.4,1486,0.045,Wetland,Aquatic predator,3
Podiceps cristatus,57.5,6.6,183.6,731,0,Wetland,Aquatic predator,1
Uria aalge,56.8,8.1,196.3,991.9,0.03,Marine,Aquatic predator,3
Thinornis cucullatus,21,3.3,138,100,,Coastal,Aquatic predator,2
Haematopus longirostris,88.8,8.2,275.4,613.9,,Coastal,Aquatic predator,1
Mergus serrator,65,8.2,233.6,1015.2,0.33,Wetland,Aquatic predator,3
Podiceps cristatus,57.5,6.6,183.6,731,0,Wetland,Aquatic predator,1
Gavia stellata,63.1,7.5,275.4,1486,0,Wetland,Aquatic predator,3
Gavia arctica,71,8.5,285.8,2251.1,0,Wetland,Aquatic predator,3
Gavia pacifica,71.9,8.3,291.2,2251.1,0.35,Wetland,Aquatic predator,3
Hydrobates monorhis,16.5,3,152.6,39.8,18.73,Marine,Aquatic predator,3
Calonectris leucomelas,48.9,9.7,319.2,580,0,Marine,Aquatic predator,3
Phalacrocorax carbo,82.7,13.2,340.2,2529,0,Wetland,Aquatic predator,2
Larus crassirostris,58.7,6.5,364.2,561,0.13,Coastal,Aquatic predator,2
Larus argentatus,74,8.9,430,1091,0,Coastal,Aquatic predator,2
Synthliboramphus antiquus,23.6,5,135.5,217.7,0.02,Marine,Aquatic predator,3
Calonectris borealis,55,11.3,347,535,8.13,Marine,Aquatic predator,3
Hydrobates castro,15.6,2.7,150.4,46.1,5.6,Marine,Aquatic predator,3
