study_id,Title,Reference,Species,Migratory_status,IUCN,Species_type,Feeding_habit,Max_Body_mass_g,Beak.Length_Culmen,Beak.Width,Wing.Length,Mass,Trophic.Level,Trophic.Niche,Habitat,Habitat.Density,Migration,Primary.Lifestyle,Longitude,Latitude,Location,Province,Country,Continent,Years_sampling,Environment,Sites_code,Tissue_abr,Tissue,Extraction_method,Identification,Ref_method,Number_of_species,TNMP,Mppersp,mp
8,"Microplastic accumulation in the gastrointestinal tracts in birds of prey in central Florida, USA",Carlin et al_2020,Buteo lineatus,Full migrant,LC,Landbird,Carnivore,700.00 ,33.10 ,11.80 ,319.00 ,603.70 ,Carnivore,Vertivore,Woodland,1,3,Aerial,-81.74 ,28.42 ,"Audubon Center, Maitland",Florida,USA,North America,2018,,,26.26,GIT,KOH,Stereomicroscope,Foekema et al. 2013,28,,24.03,24.03
8,"Microplastic accumulation in the gastrointestinal tracts in birds of prey in central Florida, USA",Carlin et al_2020,Pandion haliaetus,Full migrant,LC,Landbird,Piscivore,2000.00 ,47.00 ,17.30 ,468.40 ,1483.20 ,Carnivore,Aquatic predator,Marine,3,3,Aerial,-81.74 ,28.42 ,"Audubon Center, Maitland",Florida,USA,North America,2018,,,56.47,GIT,KOH,Stereomicroscope,Foekema et al. 2013,16,,19.26,19.26
8,"Microplastic accumulation in the gastrointestinal tracts in birds of prey in central Florida, USA",Carlin et al_2020,Strix Varia,Not a Migrant,LC,Landbird,Carnivore,800.00 ,38.80 ,11.20 ,341.20 ,711.50 ,Carnivore,Vertivore,Forest,2,1,Insessorial,-81.74 ,28.42 ,"Audubon Center, Maitland",Florida,USA,North America,2018,,,,GIT,KOH,Stereomicroscope,Foekema et al. 2013,8,,6.14,6.14
8,"Microplastic accumulation in the gastrointestinal tracts in birds of prey in central Florida, USA",Carlin et al_2020,Megascops asio,Not a Migrant,LC,Landbird,Carnivore,1000.00 ,22.00 ,6.40 ,168.50 ,180.00 ,Carnivore,Invertivore,Woodland,2,1,Insessorial,-81.74 ,28.42 ,"Audubon Center, Maitland",Florida,USA,North America,2018,,,,GIT,KOH,Stereomicroscope,Foekema et al. 2013,4,,9.82,9.82
8,"Microplastic accumulation in the gastrointestinal tracts in birds of prey in central Florida, USA",Carlin et al_2020,Coragyps atratus,Full Migrant,LC,Landbird,Carnivore,2700.00 ,60.00 ,14.80 ,410.10 ,1881.70 ,Omnivore,Scavenger,Human modified,3,2,Terrestrial,-81.74 ,28.42 ,"Audubon Center, Maitland",Florida,USA,North America,2018,,,,GIT,KOH,Stereomicroscope,Foekema et al. 2013,2,,9.32,9.32
8,"Microplastic accumulation in the gastrointestinal tracts in birds of prey in central Florida, USA",Carlin et al_2020,Cathartes aura,Full migrant,LC,Landbird,Carnivore,2000.00 ,51.50 ,14.30 ,508.50 ,1518.20 ,Scavenger,Scavenger,Human modified,3,2,Terrestrial,-81.74 ,28.42 ,"Audubon Center, Maitland",Florida,USA,North America,2018,,,,GIT,KOH,Stereomicroscope,Foekema et al. 2013,2,,17.66,17.66
8,"Microplastic accumulation in the gastrointestinal tracts in birds of prey in central Florida, USA",Carlin et al_2020,Buteo jamaicensis,Full migrant,LC,Landbird,Carnivore,1224.00 ,37.60 ,14.40 ,402.80 ,1101.20 ,Carnivore,Vertivore,Woodland,2,3,Insessorial,-81.74 ,28.42 ,"Audubon Center, Maitland",Florida,USA,North America,2018,,,,GIT,KOH,Stereomicroscope,Foekema et al. 2013,2,,0.16,0.16
8,"Microplastic accumulation in the gastrointestinal tracts in birds of prey in central Florida, USA",Carlin et al_2020,Accipiter cooperii,Full migrant,LC,Landbird,Carnivore,566.00 ,25.40 ,8.60 ,241.20 ,429.70 ,Carnivore,Vertivore,Woodland,2,3,Aerial,-81.74 ,28.42 ,"Audubon Center, Maitland",Florida,USA,North America,2018,,,,GIT,KOH,Stereomicroscope,Foekema et al. 2013,1,,8.66,8.66
9,"First report on occurrence and characterization of microplastics  in feces of Corvus splendens (Vieillot, 1817)",Charles et al_2024,Corvus splendens,Not a Migrant,LC,Landbird,Omnivore,,49.70 ,13.90 ,258.20 ,292.60 ,Omnivore,Omnivore,Human modified,3,1,Terrestrial,78.16 ,11.65 ,Salem,Tamil Nadu,India,Asia,2021,,,,Dropping,KOH & H2O2,Stereomicroscope & FTIR,Bessa et al. 2019; Bourdages et al. 2021,,264,2.64,2.64
10,Plastic burdens in northern fulmars from Svalbard: Looking back 25 years,Collard et al_2022,Fulmarus glacialis,Full Migrant,LC,Seabird,Piscivore,1000.00 ,41.30 ,11.90 ,321.10 ,611.90 ,Carnivore,Aquatic predator,Marine,3,3,Aquatic,17.73 ,79.31 ,Kongsfjorden,,Norway,Europe,1997,Marine,ALL,,Gizzard,KOH,FTIR,Dehaut et al. 2016; Karami et al. 2017,43,,10.3,10.3
10,Plastic burdens in northern fulmars from Svalbard: Looking back 25 years,Collard et al_2022,Fulmarus glacialis,Full Migrant,LC,Seabird,Piscivore,1000.00 ,41.30 ,11.90 ,321.10 ,611.90 ,Carnivore,Aquatic predator,Marine,3,3,Aquatic,17.73 ,79.31 ,Kongsfjorden,,Norway,Europe,1997,Marine,Male,,Gizzard,KOH,FTIR,Dehaut et al. 2016; Karami et al. 2017,20,,7.1,7.1
10,Plastic burdens in northern fulmars from Svalbard: Looking back 25 years,Collard et al_2022,Fulmarus glacialis,Full Migrant,LC,Seabird,Piscivore,1000.00 ,41.30 ,11.90 ,321.10 ,611.90 ,Carnivore,Aquatic predator,Marine,3,3,Aquatic,17.73 ,79.31 ,Kongsfjorden,,Norway,Europe,1997,Marine,Female,,Gizzard,KOH,FTIR,Dehaut et al. 2016; Karami et al. 2017,23,,13.1,13.1
11,Evaluation of meso- and microplastic ingestion by the northern fulmar  through a non-lethal sampling method,Collard et al_2023,Fulmarus,Full Migrant,LC,Seabird,Piscivore,1000.00 ,41.30 ,11.90 ,321.10 ,611.90 ,Carnivore,Aquatic predator,Marine,3,3,Aquatic,18.99 ,74.50 ,"Herwighamna, Bjornoya",Svalbard,Norway,Europe,2019,,,,GIT,KOH,FTIR,Dehaut et al. 2016; Karami et al. 2017,22,36,1.6,1.6
